Dataset Size,Dataset Variation,Sorting Algorithm,Time Taken
4000,Nearly Sorted,Quick Sort,7.79561e+07
4000,Nearly Sorted,Selection Sort,2.73109e+07
4000,Reversed,Bubble Sort,3.76338e+07
4000,Reversed,Heap Sort,1.0729e+06
4000,Reversed,Insertion Sort,24200
4000,Reversed,Merge Sort,3.1805e+06
4000,Reversed,Quick Sort,7.24796e+07
4000,Reversed,Selection Sort,2.16084e+07
4000,Sorted,Bubble Sort,2.37002e+07
4000,Sorted,Heap Sort,1.4089e+06
4000,Sorted,Insertion Sort,24300
4000,Sorted,Merge Sort,2.942e+06
4000,Sorted,Quick Sort,6.6937e+07
4000,Sorted,Selection Sort,2.09177e+07
4000,Unique Entries,Bubble Sort,4.43442e+07
4000,Unique Entries,Heap Sort,1.4076e+06
4000,Unique Entries,Insertion Sort,29300
4000,Unique Entries,Merge Sort,3.2765e+06
4000,Unique Entries,Quick Sort,6.65826e+07
4000,Unique Entries,Selection Sort,2.22274e+07
4000,Random,Bubble Sort,3.99748e+07
4000,Random,Heap Sort,990700
4000,Random,Insertion Sort,25500
4000,Random,Merge Sort,2.9544e+06
4000,Random,Quick Sort,8.9467e+07
4000,Random,Selection Sort,2.02273e+07
5000,Many Duplicates,Bubble Sort,6.26188e+07
5000,Many Duplicates,Heap Sort,1.3813e+06
5000,Many Duplicates,Insertion Sort,34900
5000,Many Duplicates,Merge Sort,3.8094e+06
5000,Many Duplicates,Quick Sort,1.08426e+08
5000,Many Duplicates,Selection Sort,3.25109e+07
5000,Nearly Sorted,Bubble Sort,4.26286e+07
5000,Nearly Sorted,Heap Sort,1.2989e+06
5000,Nearly Sorted,Insertion Sort,31200
5000,Nearly Sorted,Merge Sort,5.6497e+06
5000,Nearly Sorted,Quick Sort,1.04319e+08
5000,Nearly Sorted,Selection Sort,5.77295e+07
5000,Reversed,Bubble Sort,6.64101e+07
5000,Reversed,Heap Sort,1.734e+06
5000,Reversed,Insertion Sort,28800
5000,Reversed,Merge Sort,3.5894e+06
5000,Reversed,Quick Sort,1.00439e+08
5000,Reversed,Selection Sort,3.20669e+07
5000,Sorted,Bubble Sort,3.72231e+07
5000,Sorted,Heap Sort,1.2095e+06
5000,Sorted,Insertion Sort,183900
5000,Sorted,Merge Sort,3.7121e+06
5000,Sorted,Quick Sort,9.96035e+07
5000,Sorted,Selection Sort,3.15395e+07
5000,Unique Entries,Bubble Sort,6.6541e+07
5000,Unique Entries,Heap Sort,1.3505e+06
5000,Unique Entries,Insertion Sort,33000
5000,Unique Entries,Merge Sort,4.4387e+06
5000,Unique Entries,Quick Sort,1.00014e+08
5000,Unique Entries,Selection Sort,3.66867e+07
5000,Random,Bubble Sort,6.22808e+07
5000,Random,Heap Sort,1.2146e+06
5000,Random,Insertion Sort,32700
5000,Random,Merge Sort,3.6168e+06
5000,Random,Quick Sort,1.36473e+08
5000,Random,Selection Sort,5.09197e+07
10000,Many Duplicates,Bubble Sort,3.04599e+08
10000,Many Duplicates,Heap Sort,2.598e+06
10000,Many Duplicates,Insertion Sort,62800
10000,Many Duplicates,Merge Sort,7.5757e+06
10000,Many Duplicates,Quick Sort,3.97374e+08
10000,Many Duplicates,Selection Sort,1.25215e+08
10000,Nearly Sorted,Bubble Sort,1.7425e+08
10000,Nearly Sorted,Heap Sort,3.2935e+06
10000,Nearly Sorted,Insertion Sort,62900
10000,Nearly Sorted,Merge Sort,7.7112e+06
10000,Nearly Sorted,Quick Sort,3.96465e+08
10000,Nearly Sorted,Selection Sort,1.29552e+08
10000,Reversed,Bubble Sort,2.37262e+08
10000,Reversed,Heap Sort,2.5786e+06
10000,Reversed,Insertion Sort,66400
10000,Reversed,Merge Sort,9.1405e+06
10000,Reversed,Quick Sort,3.97886e+08
10000,Reversed,Selection Sort,1.30201e+08
10000,Sorted,Bubble Sort,1.35937e+08
10000,Sorted,Heap Sort,2.7083e+06
10000,Sorted,Insertion Sort,56800
10000,Sorted,Merge Sort,1.15717e+07
10000,Sorted,Quick Sort,5.65452e+08
10000,Sorted,Selection Sort,1.28967e+08
10000,Unique Entries,Bubble Sort,2.85181e+08
10000,Unique Entries,Heap Sort,2.7299e+06
10000,Unique Entries,Insertion Sort,63400
10000,Unique Entries,Merge Sort,7.0183e+06
10000,Unique Entries,Quick Sort,4.83489e+08
10000,Unique Entries,Selection Sort,1.24587e+08
10000,Random,Bubble Sort,2.90303e+08
10000,Random,Heap Sort,2.5971e+06
10000,Random,Insertion Sort,66500
10000,Random,Merge Sort,8.4591e+06
10000,Random,Quick Sort,3.95441e+08
10000,Random,Selection Sort,1.42288e+08
20000,Many Duplicates,Bubble Sort,1.24412e+09
20000,Many Duplicates,Heap Sort,5.2861e+06
20000,Many Duplicates,Insertion Sort,114300
20000,Many Duplicates,Merge Sort,1.44419e+07
20000,Many Duplicates,Quick Sort,1.56994e+09
20000,Many Duplicates,Selection Sort,5.01954e+08
20000,Nearly Sorted,Bubble Sort,6.92384e+08
20000,Nearly Sorted,Heap Sort,5.1004e+06
20000,Nearly Sorted,Insertion Sort,117000
20000,Nearly Sorted,Merge Sort,2.27069e+07
20000,Nearly Sorted,Quick Sort,1.55123e+09
20000,Nearly Sorted,Selection Sort,5.70832e+08
20000,Reversed,Bubble Sort,9.44791e+08
20000,Reversed,Heap Sort,5.2747e+06
20000,Reversed,Insertion Sort,112900
20000,Reversed,Merge Sort,2.25443e+07
20000,Reversed,Quick Sort,1.5562e+09
20000,Reversed,Selection Sort,5.0497e+08
20000,Sorted,Bubble Sort,5.4738e+08
20000,Sorted,Heap Sort,5.2091e+06
20000,Sorted,Insertion Sort,125000
20000,Sorted,Merge Sort,1.41123e+07
20000,Sorted,Quick Sort,1.55724e+09
20000,Sorted,Selection Sort,5.04418e+08
20000,Unique Entries,Bubble Sort,1.22772e+09
20000,Unique Entries,Heap Sort,5.2431e+06
20000,Unique Entries,Insertion Sort,111000
20000,Unique Entries,Merge Sort,1.79949e+07
20000,Unique Entries,Quick Sort,1.67297e+09
20000,Unique Entries,Selection Sort,5.1042e+08
20000,Random,Bubble Sort,1.2395e+09
20000,Random,Heap Sort,5.1609e+06
20000,Random,Insertion Sort,125600
20000,Random,Merge Sort,1.52954e+07
20000,Random,Quick Sort,1.58982e+09
20000,Random,Selection Sort,5.55903e+08
40000,Many Duplicates,Bubble Sort,5.18203e+09
40000,Many Duplicates,Heap Sort,1.18367e+07
40000,Many Duplicates,Insertion Sort,231800
40000,Many Duplicates,Merge Sort,2.89882e+07
40000,Many Duplicates,Quick Sort,6.28558e+09
40000,Many Duplicates,Selection Sort,2.09085e+09
40000,Nearly Sorted,Bubble Sort,2.78102e+09
40000,Nearly Sorted,Heap Sort,1.08782e+07
40000,Nearly Sorted,Insertion Sort,238800
40000,Nearly Sorted,Merge Sort,2.94169e+07
40000,Nearly Sorted,Quick Sort,6.20354e+09
40000,Nearly Sorted,Selection Sort,2.03911e+09
40000,Reversed,Bubble Sort,3.82319e+09
40000,Reversed,Heap Sort,1.09154e+07
40000,Reversed,Insertion Sort,2.0264e+06
40000,Reversed,Merge Sort,3.77909e+07
40000,Reversed,Quick Sort,6.27338e+09
40000,Reversed,Selection Sort,2.06846e+09
40000,Sorted,Bubble Sort,2.29285e+09
40000,Sorted,Heap Sort,1.46529e+07
40000,Sorted,Insertion Sort,240500
40000,Sorted,Merge Sort,6.1743e+07
40000,Sorted,Quick Sort,6.76659e+09
40000,Sorted,Selection Sort,2.08137e+09
40000,Unique Entries,Bubble Sort,5.1887e+09
40000,Unique Entries,Heap Sort,1.08823e+07
40000,Unique Entries,Insertion Sort,231100
40000,Unique Entries,Merge Sort,3.95732e+07
40000,Unique Entries,Quick Sort,6.31987e+09
40000,Unique Entries,Selection Sort,2.05232e+09
40000,Random,Bubble Sort,5.2382e+09
40000,Random,Heap Sort,1.1178e+07
40000,Random,Insertion Sort,235500
40000,Random,Merge Sort,3.78771e+07
40000,Random,Quick Sort,6.27777e+09
40000,Random,Selection Sort,2.04712e+09
80000,Many Duplicates,Bubble Sort,2.11833e+10
80000,Many Duplicates,Heap Sort,2.46982e+07
80000,Many Duplicates,Insertion Sort,504000
80000,Many Duplicates,Merge Sort,6.76248e+07
80000,Many Duplicates,Quick Sort,2.55528e+10
80000,Many Duplicates,Selection Sort,8.30287e+09
80000,Nearly Sorted,Bubble Sort,1.16926e+10
80000,Nearly Sorted,Heap Sort,2.61717e+07
80000,Nearly Sorted,Insertion Sort,467500
80000,Nearly Sorted,Merge Sort,6.13302e+07
80000,Nearly Sorted,Quick Sort,2.53424e+10
80000,Nearly Sorted,Selection Sort,8.30626e+09
80000,Reversed,Bubble Sort,1.54971e+10
80000,Reversed,Heap Sort,2.42237e+07
80000,Reversed,Insertion Sort,569300
