Dataset Size,Dataset Variation,Sorting Algorithm,Time Taken
4000,Sorted,Bubble Sort,5.1741e+06
4000,Sorted,Heap Sort,256500
4000,Sorted,Insertion Sort,3500
4000,Sorted,Merge Sort,707700
4000,Sorted,Quick Sort,6.5783e+06
4000,Sorted,Selection Sort,7.952e+06
4000,Unique Entries,Bubble Sort,1.25383e+07
4000,Unique Entries,Heap Sort,322300
4000,Unique Entries,Insertion Sort,2.2208e+06
4000,Unique Entries,Merge Sort,837600
4000,Unique Entries,Quick Sort,6.109e+06
4000,Unique Entries,Selection Sort,8.28e+06
4000,Random,Bubble Sort,1.13856e+07
4000,Random,Heap Sort,494900
4000,Random,Insertion Sort,2.6854e+06
4000,Random,Merge Sort,851100
4000,Random,Quick Sort,6.0169e+06
4000,Random,Selection Sort,9.416e+06
5000,Many Duplicates,Bubble Sort,1.98896e+07
5000,Many Duplicates,Heap Sort,390200
5000,Many Duplicates,Insertion Sort,3.4385e+06
5000,Many Duplicates,Merge Sort,1.1215e+06
5000,Many Duplicates,Quick Sort,9.4927e+06
5000,Many Duplicates,Selection Sort,1.20824e+07
5000,Nearly Sorted,Bubble Sort,1.25123e+07
5000,Nearly Sorted,Heap Sort,346700
5000,Nearly Sorted,Insertion Sort,894600
5000,Nearly Sorted,Merge Sort,891000
5000,Nearly Sorted,Quick Sort,1.03783e+07
5000,Nearly Sorted,Selection Sort,1.16349e+07
5000,Reversed,Bubble Sort,8.4754e+06
5000,Reversed,Heap Sort,436500
5000,Reversed,Insertion Sort,7.9577e+06
5000,Reversed,Merge Sort,836200
5000,Reversed,Quick Sort,1.22533e+07
5000,Reversed,Selection Sort,1.69284e+07
5000,Sorted,Bubble Sort,7.4439e+06
5000,Sorted,Heap Sort,310000
5000,Sorted,Insertion Sort,3900
5000,Sorted,Merge Sort,814900
5000,Sorted,Quick Sort,9.4879e+06
5000,Sorted,Selection Sort,1.64163e+07
5000,Unique Entries,Bubble Sort,1.88531e+07
5000,Unique Entries,Heap Sort,488900
5000,Unique Entries,Insertion Sort,4.7541e+06
5000,Unique Entries,Merge Sort,1.0557e+06
5000,Unique Entries,Quick Sort,8.095e+06
5000,Unique Entries,Selection Sort,1.1754e+07
5000,Random,Bubble Sort,2.07002e+07
5000,Random,Heap Sort,440000
5000,Random,Insertion Sort,3.3118e+06
5000,Random,Merge Sort,1.1185e+06
5000,Random,Quick Sort,8.4019e+06
5000,Random,Selection Sort,1.06787e+07
10000,Many Duplicates,Bubble Sort,1.04849e+08
10000,Many Duplicates,Heap Sort,1.4093e+06
10000,Many Duplicates,Insertion Sort,1.49075e+07
10000,Many Duplicates,Merge Sort,2.0809e+06
10000,Many Duplicates,Quick Sort,4.04036e+07
10000,Many Duplicates,Selection Sort,5.27989e+07
10000,Nearly Sorted,Bubble Sort,4.78701e+07
10000,Nearly Sorted,Heap Sort,940100
10000,Nearly Sorted,Insertion Sort,3.246e+06
10000,Nearly Sorted,Merge Sort,3.0111e+06
10000,Nearly Sorted,Quick Sort,3.31317e+07
10000,Nearly Sorted,Selection Sort,4.6141e+07
10000,Reversed,Bubble Sort,3.53872e+07
10000,Reversed,Heap Sort,725500
10000,Reversed,Insertion Sort,2.85337e+07
10000,Reversed,Merge Sort,1.6846e+06
10000,Reversed,Quick Sort,3.62478e+07
10000,Reversed,Selection Sort,4.51113e+07
10000,Sorted,Bubble Sort,3.65741e+07
10000,Sorted,Heap Sort,810700
10000,Sorted,Insertion Sort,8000
10000,Sorted,Merge Sort,1.6275e+06
10000,Sorted,Quick Sort,4.08804e+07
10000,Sorted,Selection Sort,4.93067e+07
10000,Unique Entries,Bubble Sort,1.03814e+08
10000,Unique Entries,Heap Sort,1.1403e+06
10000,Unique Entries,Insertion Sort,1.64724e+07
10000,Unique Entries,Merge Sort,2.2332e+06
10000,Unique Entries,Quick Sort,3.87132e+07
10000,Unique Entries,Selection Sort,5.29378e+07
10000,Random,Bubble Sort,1.06259e+08
10000,Random,Heap Sort,1.4499e+06
10000,Random,Insertion Sort,1.70147e+07
10000,Random,Merge Sort,2.1345e+06
10000,Random,Quick Sort,3.61888e+07
10000,Random,Selection Sort,5.01049e+07
20000,Many Duplicates,Bubble Sort,4.81956e+08
20000,Many Duplicates,Heap Sort,3.1767e+06
20000,Many Duplicates,Insertion Sort,6.57217e+07
20000,Many Duplicates,Merge Sort,5.1218e+06
20000,Many Duplicates,Quick Sort,1.95034e+08
20000,Many Duplicates,Selection Sort,2.15217e+08
20000,Nearly Sorted,Bubble Sort,2.07234e+08
20000,Nearly Sorted,Heap Sort,2.3702e+06
20000,Nearly Sorted,Insertion Sort,1.75334e+07
20000,Nearly Sorted,Merge Sort,4.1208e+06
20000,Nearly Sorted,Quick Sort,1.55337e+08
20000,Nearly Sorted,Selection Sort,2.46166e+08
20000,Reversed,Bubble Sort,1.59614e+08
20000,Reversed,Heap Sort,1.4378e+06
20000,Reversed,Insertion Sort,1.29017e+08
20000,Reversed,Merge Sort,3.308e+06
20000,Reversed,Quick Sort,1.74793e+08
20000,Reversed,Selection Sort,2.57819e+08
20000,Sorted,Bubble Sort,1.54157e+08
20000,Sorted,Heap Sort,1.6628e+06
20000,Sorted,Insertion Sort,17400
20000,Sorted,Merge Sort,3.8862e+06
20000,Sorted,Quick Sort,1.84277e+08
20000,Sorted,Selection Sort,2.12928e+08
20000,Unique Entries,Bubble Sort,4.75165e+08
20000,Unique Entries,Heap Sort,2.4487e+06
20000,Unique Entries,Insertion Sort,6.61616e+07
20000,Unique Entries,Merge Sort,4.3112e+06
20000,Unique Entries,Quick Sort,1.55057e+08
20000,Unique Entries,Selection Sort,2.07406e+08
20000,Random,Bubble Sort,5.18412e+08
20000,Random,Heap Sort,2.6455e+06
20000,Random,Insertion Sort,7.2424e+07
20000,Random,Merge Sort,4.3359e+06
20000,Random,Quick Sort,1.80141e+08
20000,Random,Selection Sort,2.151e+08
40000,Many Duplicates,Bubble Sort,2.02522e+09
40000,Many Duplicates,Heap Sort,5.8641e+06
40000,Many Duplicates,Insertion Sort,2.65068e+08
40000,Many Duplicates,Merge Sort,1.05819e+07
40000,Many Duplicates,Quick Sort,6.02837e+08
40000,Many Duplicates,Selection Sort,7.5555e+08
40000,Nearly Sorted,Bubble Sort,8.92612e+08
40000,Nearly Sorted,Heap Sort,3.8169e+06
40000,Nearly Sorted,Insertion Sort,6.0733e+07
40000,Nearly Sorted,Merge Sort,9.4133e+06
40000,Nearly Sorted,Quick Sort,6.01739e+08
40000,Nearly Sorted,Selection Sort,7.77863e+08
40000,Reversed,Bubble Sort,5.57962e+08
40000,Reversed,Heap Sort,3.1378e+06
40000,Reversed,Insertion Sort,5.08423e+08
40000,Reversed,Merge Sort,6.674e+06
40000,Reversed,Quick Sort,6.17081e+08
40000,Reversed,Selection Sort,8.34792e+08
40000,Sorted,Bubble Sort,5.47095e+08
40000,Sorted,Heap Sort,2.9485e+06
40000,Sorted,Insertion Sort,37100
40000,Sorted,Merge Sort,7.5427e+06
40000,Sorted,Quick Sort,6.54168e+08
40000,Sorted,Selection Sort,7.84903e+08
40000,Unique Entries,Bubble Sort,2.06176e+09
40000,Unique Entries,Heap Sort,4.7166e+06
40000,Unique Entries,Insertion Sort,2.28075e+08
40000,Unique Entries,Merge Sort,9.1616e+06
40000,Unique Entries,Quick Sort,6.7363e+08
40000,Unique Entries,Selection Sort,7.66401e+08
40000,Random,Bubble Sort,2.02362e+09
40000,Random,Heap Sort,5.1362e+06
40000,Random,Insertion Sort,2.39939e+08
40000,Random,Merge Sort,8.9429e+06
40000,Random,Quick Sort,6.59558e+08
40000,Random,Selection Sort,7.94802e+08
80000,Many Duplicates,Bubble Sort,8.49208e+09
80000,Many Duplicates,Heap Sort,1.09912e+07
80000,Many Duplicates,Insertion Sort,1.05331e+09
80000,Many Duplicates,Merge Sort,1.99299e+07
80000,Many Duplicates,Quick Sort,2.46882e+09
80000,Many Duplicates,Selection Sort,3.0669e+09
80000,Nearly Sorted,Bubble Sort,3.59981e+09
80000,Nearly Sorted,Heap Sort,8.0436e+06
80000,Nearly Sorted,Insertion Sort,2.74026e+08
80000,Nearly Sorted,Merge Sort,1.71972e+07
80000,Nearly Sorted,Quick Sort,2.45686e+09
80000,Nearly Sorted,Selection Sort,3.12877e+09
80000,Reversed,Bubble Sort,2.13227e+09
80000,Reversed,Heap Sort,7.1201e+06
80000,Reversed,Insertion Sort,1.99986e+09
80000,Reversed,Merge Sort,1.64312e+07
80000,Reversed,Quick Sort,2.46506e+09
80000,Reversed,Selection Sort,3.09145e+09
80000,Sorted,Bubble Sort,2.01764e+09
80000,Sorted,Heap Sort,8.1839e+06
80000,Sorted,Insertion Sort,73500
80000,Sorted,Merge Sort,1.38537e+07
80000,Sorted,Quick Sort,2.50101e+09
80000,Sorted,Selection Sort,3.00844e+09
80000,Unique Entries,Bubble Sort,8.23095e+09
80000,Unique Entries,Heap Sort,1.02296e+07
80000,Unique Entries,Insertion Sort,9.79205e+08
80000,Unique Entries,Merge Sort,2.10764e+07
80000,Unique Entries,Quick Sort,2.51037e+09
80000,Unique Entries,Selection Sort,3.02762e+09
80000,Random,Bubble Sort,8.41066e+09
80000,Random,Heap Sort,9.9301e+06
80000,Random,Insertion Sort,9.64826e+08
80000,Random,Merge Sort,2.40625e+07
80000,Random,Quick Sort,2.51872e+09
80000,Random,Selection Sort,3.09382e+09
160000,Many Duplicates,Bubble Sort,3.35574e+10
160000,Many Duplicates,Heap Sort,2.09632e+07
160000,Many Duplicates,Insertion Sort,3.80253e+09
160000,Many Duplicates,Merge Sort,3.9794e+07
160000,Many Duplicates,Quick Sort,1.02081e+10
160000,Many Duplicates,Selection Sort,1.23752e+10
160000,Nearly Sorted,Bubble Sort,1.4647e+10
160000,Nearly Sorted,Heap Sort,1.66096e+07
160000,Nearly Sorted,Insertion Sort,9.16444e+08
160000,Nearly Sorted,Merge Sort,3.71795e+07
160000,Nearly Sorted,Quick Sort,1.01323e+10
160000,Nearly Sorted,Selection Sort,1.26506e+10
160000,Reversed,Bubble Sort,8.9461e+09
160000,Reversed,Heap Sort,1.36776e+07
160000,Reversed,Insertion Sort,8.0279e+09
160000,Reversed,Merge Sort,4.34506e+07
160000,Reversed,Quick Sort,1.0105e+10
160000,Reversed,Selection Sort,1.25671e+10
160000,Sorted,Bubble Sort,8.0346e+09
160000,Sorted,Heap Sort,1.16226e+07
160000,Sorted,Insertion Sort,132600
160000,Sorted,Merge Sort,2.93036e+07
160000,Sorted,Quick Sort,9.98689e+09
160000,Sorted,Selection Sort,1.59281e+10
160000,Unique Entries,Bubble Sort,4.20694e+10
160000,Unique Entries,Heap Sort,2.02207e+07
160000,Unique Entries,Insertion Sort,5.77144e+09
160000,Unique Entries,Merge Sort,4.23213e+07
160000,Unique Entries,Quick Sort,1.16862e+10
160000,Unique Entries,Selection Sort,1.81984e+10
160000,Random,Bubble Sort,4.34125e+10
160000,Random,Heap Sort,2.0999e+07
160000,Random,Insertion Sort,5.56857e+09
160000,Random,Merge Sort,4.32703e+07
160000,Random,Quick Sort,1.44671e+10
160000,Random,Selection Sort,1.90034e+10
250000,Many Duplicates,Bubble Sort,1.03574e+11
